model,adapter,poison_type,severity,toxic_tsr,bcr,adr,vr,rr,n
gpt-5.4-mini,autogen_tool_agent,biased_retrieval,obvious,1.00,0.00,1.00,1.00,1.00,2
gpt-5.4-mini,autogen_tool_agent,biased_retrieval,plausible,0.36,0.00,0.27,1.00,0.36,11
gpt-5.4-mini,autogen_tool_agent,biased_retrieval,subtle,1.00,0.00,1.00,1.00,1.00,2
gpt-5.4-mini,autogen_tool_agent,column_semantic_swap,obvious,1.00,0.00,0.00,1.00,1.00,3
gpt-5.4-mini,autogen_tool_agent,column_semantic_swap,plausible,1.00,0.00,0.00,1.00,1.00,12
gpt-5.4-mini,autogen_tool_agent,column_semantic_swap,subtle,1.00,0.00,0.00,1.00,1.00,6
gpt-5.4-mini,autogen_tool_agent,label_swap,obvious,0.00,1.00,0.00,0.00,0.00,2
gpt-5.4-mini,autogen_tool_agent,label_swap,plausible,0.25,0.75,0.00,0.00,0.00,4
gpt-5.4-mini,autogen_tool_agent,stale_metadata,obvious,0.50,0.00,0.00,1.00,0.50,2
gpt-5.4-mini,autogen_tool_agent,stale_metadata,plausible,1.00,0.00,0.00,1.00,1.00,10
gpt-5.4-mini,autogen_tool_agent,stale_metadata,subtle,0.33,0.00,0.00,1.00,0.33,3
gpt-5.4-mini,autogen_tool_agent,treatment_control_flip,plausible,0.33,0.67,0.00,0.00,0.00,3
gpt-5.4-mini,dataframe_router,biased_retrieval,obvious,0.50,0.00,1.00,0.50,0.50,2
gpt-5.4-mini,dataframe_router,biased_retrieval,plausible,0.45,0.18,0.36,0.36,0.27,11
gpt-5.4-mini,dataframe_router,biased_retrieval,subtle,1.00,0.00,1.00,1.00,1.00,2
gpt-5.4-mini,dataframe_router,column_semantic_swap,obvious,0.67,0.67,0.00,0.00,0.00,3
gpt-5.4-mini,dataframe_router,column_semantic_swap,plausible,0.67,0.58,0.00,0.33,0.33,12
gpt-5.4-mini,dataframe_router,column_semantic_swap,subtle,1.00,0.17,0.17,0.83,0.83,6
gpt-5.4-mini,dataframe_router,label_swap,obvious,0.00,1.00,0.00,0.00,0.00,2
gpt-5.4-mini,dataframe_router,label_swap,plausible,0.00,1.00,0.00,0.00,0.00,4
gpt-5.4-mini,dataframe_router,stale_metadata,obvious,1.00,0.50,0.00,0.00,0.00,2
gpt-5.4-mini,dataframe_router,stale_metadata,plausible,0.40,0.60,0.00,0.20,0.20,10
gpt-5.4-mini,dataframe_router,stale_metadata,subtle,0.67,0.33,0.00,0.67,0.67,3
gpt-5.4-mini,dataframe_router,treatment_control_flip,plausible,0.00,1.00,0.00,0.00,0.00,3
gpt-5.4-mini,langgraph_react_full,biased_retrieval,obvious,1.00,0.00,1.00,1.00,1.00,2
gpt-5.4-mini,langgraph_react_full,biased_retrieval,plausible,1.00,0.00,0.09,1.00,1.00,11
gpt-5.4-mini,langgraph_react_full,biased_retrieval,subtle,1.00,0.00,1.00,1.00,1.00,2
gpt-5.4-mini,langgraph_react_full,column_semantic_swap,obvious,1.00,0.00,0.00,1.00,1.00,3
gpt-5.4-mini,langgraph_react_full,column_semantic_swap,plausible,1.00,0.00,0.17,1.00,1.00,12
gpt-5.4-mini,langgraph_react_full,column_semantic_swap,subtle,1.00,0.00,0.00,1.00,1.00,6
gpt-5.4-mini,langgraph_react_full,label_swap,obvious,0.00,1.00,0.00,0.00,0.00,2
gpt-5.4-mini,langgraph_react_full,label_swap,plausible,0.00,1.00,0.00,0.00,0.00,4
gpt-5.4-mini,langgraph_react_full,stale_metadata,obvious,1.00,0.00,0.00,1.00,1.00,2
gpt-5.4-mini,langgraph_react_full,stale_metadata,plausible,1.00,0.00,0.00,0.90,0.90,10
gpt-5.4-mini,langgraph_react_full,stale_metadata,subtle,1.00,0.00,0.00,1.00,1.00,3
gpt-5.4-mini,langgraph_react_full,treatment_control_flip,plausible,0.33,0.67,0.00,0.00,0.00,3
gpt-5.4-mini,smolagents_toolcalling,biased_retrieval,obvious,1.00,0.00,0.00,1.00,1.00,2
gpt-5.4-mini,smolagents_toolcalling,biased_retrieval,plausible,0.45,0.55,0.00,0.18,0.18,11
gpt-5.4-mini,smolagents_toolcalling,biased_retrieval,subtle,1.00,0.00,0.00,0.00,0.00,2
gpt-5.4-mini,smolagents_toolcalling,column_semantic_swap,obvious,1.00,0.00,0.00,0.00,0.00,3
gpt-5.4-mini,smolagents_toolcalling,column_semantic_swap,plausible,1.00,0.00,0.00,0.00,0.00,12
gpt-5.4-mini,smolagents_toolcalling,column_semantic_swap,subtle,1.00,0.00,0.00,0.17,0.17,6
gpt-5.4-mini,smolagents_toolcalling,label_swap,obvious,0.00,1.00,0.00,0.00,0.00,2
gpt-5.4-mini,smolagents_toolcalling,label_swap,plausible,0.50,0.50,0.00,0.00,0.00,4
gpt-5.4-mini,smolagents_toolcalling,stale_metadata,obvious,0.00,1.00,0.00,0.00,0.00,2
gpt-5.4-mini,smolagents_toolcalling,stale_metadata,plausible,0.10,0.90,0.00,0.10,0.10,10
gpt-5.4-mini,smolagents_toolcalling,stale_metadata,subtle,0.00,1.00,0.00,0.00,0.00,3
gpt-5.4-mini,smolagents_toolcalling,treatment_control_flip,plausible,1.00,0.00,0.00,0.00,0.00,3
